id,sentimento_op30,palavras_op30,sentimento_sent,palavras_sent,palavras,sentimento_titulo_op30,palavras_titulo_op30,sentimento_titulo_sent,palavras_titulo_sent,palavras_titulo,m_aval
1,-7,29,-6,7,211,0,1,0,1,6,5
2,0,0,0,0,9,-1,1,0,0,4,1
3,2,7,0,2,91,-1,1,0,0,3,2
4,2,3,1,1,24,0,0,0,0,10,1
5,-5,16,0,2,100,0,0,0,0,3,3
6,2,45,0,6,354,0,1,0,0,7,2
7,1,4,0,0,66,1,1,0,0,5,2.5
8,1,11,0,1,118,-2,2,0,0,13,3
9,-6,26,2,2,152,-2,3,0,0,14,3
10,1,8,0,2,79,-1,1,0,0,2,4.5
11,5,37,3,7,257,0,0,0,0,1,3.5
12,6,20,-1,1,142,-2,2,-1,1,9,2
13,-1,2,0,0,31,0,1,0,0,5,3
14,-6,16,-3,3,93,0,1,-1,1,7,3.5
15,-1,12,0,0,151,0,1,0,0,13,2.5
16,1,13,0,0,98,0,0,0,0,10,1.5
17,0,0,0,0,20,0,2,0,0,25,3
18,-1,12,0,0,131,-1,2,-1,1,8,3.5
19,4,9,4,4,75,0,0,0,0,7,2
20,-4,16,-1,3,148,0,0,0,0,12,4
21,0,11,-2,2,66,0,0,0,0,1,4
22,-2,18,-3,3,101,0,0,0,0,19,4
23,1,29,0,4,261,0,1,0,0,4,2.5
24,-2,6,-2,2,55,0,1,0,0,9,5
25,12,65,0,5,578,-1,1,0,0,6,2.5
26,1,16,-1,7,124,-1,1,-1,1,5,2
27,1,15,0,5,111,-1,2,0,0,8,4
28,13,32,2,2,273,0,0,0,0,3,2
29,1,6,0,0,22,0,2,0,0,8,1
30,-4,21,-2,4,158,0,1,0,0,11,3
31,-3,5,1,1,36,-1,1,-1,1,4,1
32,0,18,2,2,94,0,0,0,0,4,4
33,0,13,0,4,160,0,0,0,0,2,2
34,5,14,6,6,191,0,0,0,0,5,2
35,2,12,-1,3,86,-1,1,0,0,4,3
36,0,9,0,2,43,0,1,1,1,2,1
37,0,5,0,0,51,0,0,0,0,6,2.5
38,1,22,-5,11,203,0,0,0,0,6,1
39,22,48,12,15,366,1,1,1,1,6,2.5
40,11,33,4,9,343,0,0,0,0,3,4
41,2,3,2,2,40,0,0,0,0,6,1.5
42,4,29,-6,10,353,2,2,0,0,15,3
43,-1,19,0,3,226,0,0,0,0,1,3
44,2,10,2,2,83,0,0,0,0,8,2
45,2,6,1,1,28,1,2,0,0,11,1
46,2,12,2,6,102,1,1,0,0,4,1.5
47,-8,50,-5,15,530,1,1,-1,1,3,4.5
48,-1,12,-2,2,107,0,2,0,0,8,4.5
49,7,14,7,7,173,0,2,0,0,6,2
50,2,18,1,3,168,1,1,1,1,3,1.5
51,7,22,7,7,200,0,0,0,0,1,3.5
52,-1,3,0,2,26,1,1,0,0,11,2
53,-1,16,1,3,116,-1,2,-1,1,5,2.5
54,-6,19,5,12,231,0,1,0,0,8,2
55,4,10,1,4,109,-1,1,-1,1,3,3
56,6,52,9,13,523,0,0,0,0,3,2
57,3,12,3,3,105,0,0,0,0,5,2
58,7,21,4,5,141,0,1,0,0,13,2
59,2,5,-1,1,34,0,1,0,0,12,1
60,-2,37,2,6,312,0,0,0,0,2,5
